PS C:\Users\user\Downloads> python main.py --use_per True
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 12: 57.0
Episode 13: 30.0
Episode 14: 26.0
Episode 15: 52.0
Episode 16: 76.0
Episode 17: 62.0
Episode 18: 124.0
Episode 19: 51.0
Episode 20: 67.0
Episode 21: 152.0
Episode 22: 99.0
Episode 23: 86.0
Episode 24: 78.0
Episode 25: 146.0
Episode 26: 98.0
Episode 27: 197.0
Episode 28: 298.0
Episode 29: 209.0
Episode 30: 232.0
Episode 31: 286.0
Episode 32: 353.0
Episode 33: 276.0
Episode 34: 361.0
Episode 35: 257.0
Episode 36: 500.0
Episode 37: 264.0
Episode 38: 500.0
Episode 39: 320.0
Episode 40: 407.0
Episode 41: 432.0
Episode 42: 376.0
Episode 43: 315.0
Episode 44: 404.0
Episode 45: 393.0
Episode 46: 390.0
Episode 47: 374.0
Episode 48: 500.0
Episode 49: 425.0
Episode 50: 414.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 471.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
Episode 65: 500.0
END train function
Minimum number of episodes for 475 : 65, Average of 20 episodes reward : 478.7
END main function
Average number of episodes for 475 : 59.0
